S.No.,Towns,Zone,"Zone Factor, Z",Default_Rate,Avg_Income,Unemployment_Rate,Economic_Growth
1,Agra,III,0.16,0.18720337598183118,53612.595289543664,2.1652079957258294,1.657413996455638
2,Ahmadabad,III,0.16,0.22879734159310489,36154.08163203092,8.067029230689132,1.2768716021059898
3,Ajmer,II,0.1,0.20069084401791099,72637.45057584925,4.560137206579743,2.5079931724047126
4,Allahabad,II,0.1,0.18622079574922423,47356.26893088137,5.067711153375184,2.3105907461983914
5,Almora,IV,0.24,0.1559136998347262,67320.4336235564,6.706536908428846,3.2807028340023985
6,Ambala,IV,0.24,0.21147352826666405,59973.96376587522,8.648387641889524,4.416406677738403
7,Amritsar,IV,0.24,0.15939680281567314,39871.84754275668,7.03185474872919,4.478127228194285
8,Asansol,III,0.16,0.27294325019551996,65689.89098512387,8.981205243579161,2.417594232910833
9,Aurangabad,II,0.1,0.2909156901252573,44825.28704234923,4.188336278525086,2.8996347795006026
10,Bahraich,IV,0.24,0.14586037970644444,69055.15985555807,8.38437467130051,1.9057548086845153
11,Bangalore,II,0.1,0.24793125952066614,54063.64363179293,3.4850875544476176,4.942727561532593
12,Baruani,IV,0.24,0.1822237299382261,69086.76809274264,9.622333255775557,1.2842403821662014
13,Bareilly,III,0.16,0.1920111402734831,59626.57950388829,7.499906211102522,4.484986208624937
14,Belgaum,III,0.16,0.28139915957316525,61262.713990982025,3.7240614169084676,4.893476979705516
15,Bhatinda,III,0.16,0.06775901454947174,50066.21909633512,9.578964723911394,4.887037809243766
16,Bhilai,II,0.1,0.07178232492538518,72804.1817361612,7.846846454161263,2.297112821726775
17,Bhopal,II,0.1,0.05505459936008143,57199.509961481876,4.031533140760207,2.8690656896628073
18,Bhubaneswar,III,0.16,0.2581549613869845,46192.752427908985,3.706495818939856,3.937998175981945
19,Bhuj,V,0.36,0.24453918773746264,55319.660706396215,6.145605711445306,2.364109512122335
20,Bijapur,III,0.16,0.2675030370617048,25959.659915466676,2.2053017444362526,2.8542639960894434
21,Bikaner,III,0.16,0.294654585558191,40078.74083372747,3.6597606035288752,1.9852714009281982
22,Bokaro,III,0.16,0.2497896410541809,58008.67687463425,5.39748375001205,3.2992794187800367
23,Bulandshahar,IV,0.24,0.16536984056323295,39503.880360522206,4.993359842673804,1.2230615062705703
24,Burdwan,III,0.16,0.24513229407161385,55900.771449942076,5.708603394918486,4.99897942285309
25,Calicut,III,0.16,0.07956860646723331,46438.43504728831,4.221029650357855,1.3847822349331635
26,Chandigarh,IV,0.24,0.20998025533188097,31773.703211122513,6.69427477166535,3.59417574415763
27,Chennai,III,0.16,0.0858383218522616,39914.116297801535,8.910844847385851,2.5340504977259806
28,Chitradurga,II,0.1,0.28616722926239596,53498.245535063244,2.9402548476962647,3.8877147441568773
29,Coimbtore,III,0.16,0.18046208043751794,54543.63806240866,6.139032857232913,5.797166704167125
30,Cuddalore,III,0.16,0.15366548499763089,53716.26244247894,3.0565448507612265,4.2278512222800195
31,Cuttuck,V,0.36,0.11613890302615675,57660.04099285668,7.7348774495407495,1.1768121787774546
32,Darbhanga,IV,0.24,0.24355842235855418,57605.16350008444,5.16847762245835,3.152012197540306
33,Darjeeling,III,0.16,0.16403758305413713,46570.9217716987,6.523370494868072,3.550084261591251
34,Dharwad,IV,0.24,0.19210848721716212,69827.32979255315,3.466238689712629,3.68088747351726
35,Dehradun,III,0.16,0.05469745010908879,43378.093502394826,3.158782074747018,4.40696255301919
36,Dharampuri,IV,0.24,0.20440887426896925,46793.24626328134,5.9044502451916365,2.3879804886588305
37,Delhi,III,0.16,0.20302393068060537,69596.16775078361,4.844901902799645,1.644302827331601
38,Durgapur,V,0.36,0.20423349921868922,65309.69945230429,9.523455562022505,2.963378382735472
39,Gangtok,III,0.16,0.28593701962865603,60194.42917701832,8.122602030455722,5.782028613979744
40,Guwahati,II,0.1,0.22045507477587084,30011.344365615056,7.989308958804378,1.9356544587542237
41,Goa,III,0.16,0.1398769751434465,70974.13068723367,9.229757917967468,5.519919774641185
42,Gulbarga,IV,0.24,0.15925798844983535,60712.06497745557,2.6673794835361484,3.719029750386632
43,Gaya,II,0.1,0.22440779898181623,74942.35032839332,6.4175397593792525,3.284557108228829
44,Gorakhpur,V,0.36,0.06505636790731746,32472.415232899686,6.675808551646151,5.410207051149448
45,Hyderabad,III,0.16,0.21669167886141694,68406.30286841071,9.695491028377832,3.293019808842929
46,Imphal,II,0.1,0.21765946740453984,33124.64673381874,4.337180214340391,4.6208381830577165
47,Jabalpur,II,0.1,0.10259564026846023,55777.978214192204,3.9266302393235746,2.99512660851551
48,Jaipur,II,0.1,0.08223157441371333,31190.999142472076,2.8023515381239825,5.520221964504788
49,Jamshedpur,II,0.1,0.12885708773104598,67400.41146611172,2.1314370367317936,4.450125100956137
50,Jhansi,V,0.36,0.14092769273565564,65365.94793625054,9.436234534337524,4.498110271252584
51,Jodhpur,III,0.16,0.1925491926044699,53455.036930729664,7.35933237272728,2.6386020077855945
52,Jorhat,III,0.16,0.1596503783655801,45359.164861299985,8.281223296185102,4.783893213684446
53,Kakrapara,III,0.16,0.29709345951480653,28458.3497727569,4.253840846031593,4.180305277235707
54,Kalapakkam,III,0.16,0.07551120268700702,59871.43865722818,6.6912813294906135,2.2001013668985476
55,Kanchipuram,III,0.16,0.10221918902370868,47677.13413390344,2.511642128967849,1.802694112426282
56,Kanpur,V,0.36,0.09032737947124907,61102.7799735174,5.885020767476983,4.981957372586659
57,Karwar,III,0.16,0.2132770813663496,68319.11629643146,9.819961117955575,5.795833015176113
58,Kohima,II,0.1,0.11332290063494553,73776.07525014429,9.012041962532727,3.290694136300214
59,Kolkata,III,0.16,0.16657769321407656,67790.16711963055,4.705271614694765,3.954920826618425
60,Kota,IV,0.24,0.11110639800040069,25585.7042092501,9.692561236331988,5.288613220967773
61,Kurnool,II,0.1,0.08974239591137993,42998.9032239182,3.853613011769636,3.2861172667692853
62,Lucknow,V,0.36,0.07759378529107629,61499.5281212029,9.594550579325452,5.759372384163681
63,Ludhiana,III,0.16,0.21408239736631834,33581.483863072026,9.531021637651989,3.878755810224362
64,Madurai,IV,0.24,0.08454573783715345,51051.83031020647,8.393620698819134,5.103835603506575
65,Mandi,IV,0.24,0.09914559042001338,27716.899416962682,7.043583494934329,5.544218592063692
66,Mangalore,III,0.16,0.14218129266524104,34999.826244820004,8.994303732999576,5.077619093842844
67,Monghyr,II,0.1,0.2552483074619838,25926.0897230307,4.344162276062374,1.7970723172447798
68,Moradabad,II,0.1,0.07427531894826532,64684.885167871034,8.791548442503345,4.144492195308501
69,Mumbai,II,0.1,0.25948622687470096,36196.23440301901,6.9430135353401905,2.9921712930983855
70,Mysore,IV,0.24,0.07402460197349077,42267.58403484513,2.105894862071196,1.3135647601167286
71,Nagpur,III,0.16,0.2941148662533489,71404.06467327954,4.777868143457757,3.1201612594492096
72,Nagarjunasagar,III,0.16,0.16716280041192538,60220.720096176636,3.1851268875853203,2.2934203344470383
73,Nainital,III,0.16,0.2941902720475843,26591.946476565394,9.854635118546025,5.245191542142554
74,Nasik,III,0.16,0.20121137993626148,33234.70782489564,5.8269624563199045,1.1665231327334808
75,Nellore,IV,0.24,0.23481589484957544,56073.92007498817,5.979130923989302,5.794913609317367
76,Osmanabad,IV,0.24,0.05979694806358017,53861.42943020838,7.115780131189789,2.776844242359648
77,Panjim,IV,0.24,0.1207017406441024,36894.64106872543,4.94867684903694,2.7835344520127143
78,Patiala,III,0.16,0.08004914030329223,71710.69989623969,3.0952021734847914,1.0816425134185395
79,Patna,III,0.16,0.12403504938053624,55698.2977982948,8.576941865553964,1.9261616261809196
80,Pilibhit,II,0.1,0.07968192973856102,51781.64015124792,3.5187832952220637,3.0062975040180437
81,Pondicherry,IV,0.24,0.129495794848494,54495.49881772855,6.090551860371648,5.6464570865135695
82,Pune,II,0.1,0.1535657486286675,61506.101475838484,3.794536231797914,1.4980746511063567
83,Raipur,II,0.1,0.06603687408719609,40597.24977398009,2.7827558759522724,5.726507667395397
84,Rajkot,III,0.16,0.22311802984250495,44911.0531108046,8.897532139373467,5.347442652733161
85,Ranchi,V,0.36,0.19165036355164378,35492.18744875611,9.783355912185042,3.270811984537759
86,Roorkee,V,0.36,0.11634737273486136,34309.65029401681,9.686677264504002,2.6335044088413
87,Rourkela,II,0.1,0.1808120133666749,72218.61949919668,9.252443993769432,2.1637206463952845
88,Sadiya,III,0.16,0.07348512768961042,61977.53975246438,8.19237866158911,4.072323532384372
89,Salem,V,0.36,0.1939866238890448,49522.940430878356,4.665161216229135,1.165372957377528
90,Simla,V,0.36,0.28232404939405353,36370.73139866616,2.648811119903974,1.0780303222341412
91,Sironj,III,0.16,0.12964223811283093,37717.82408851964,5.257929371310459,3.143978612491189
92,Solapur,III,0.16,0.2168525949909204,27901.45801619378,3.857873137367542,1.3403703698736011
93,Srinagar,III,0.16,0.08294946560109805,46720.831277906036,3.059901078063864,2.2597049412304644
94,Surat,II,0.1,0.22908180102964137,40589.79409970513,2.427417454294602,2.105804576730419
95,Tarapur,V,0.36,0.12235152323680028,59817.17444077297,7.80475491368463,2.26595596861426
96,Tezpur,III,0.16,0.09579784050177921,43887.59196462404,2.0914196690002482,1.6552761560762888
97,Thane,II,0.1,0.1966282337025208,33980.18387798174,8.16464598802221,1.0601811144882713
98,Thanjavur,V,0.36,0.05502688654687339,26233.936419566562,3.1755731632030004,1.5774214856937405
99,Thiruvananthapuram,II,0.1,0.2572350073043408,28362.48157316243,2.636176660694046,4.09240129756374
100,Tiruchirappali,III,0.16,0.05117386904813677,58969.63867492836,2.716824273908843,5.871281064090251
101,Trivennamalai,IV,0.24,0.21945413419905752,47684.84222780226,7.376382458831316,5.95172500780447
102,Udaipur,II,0.1,0.11750199329804122,51828.96055543611,3.962937678822758,3.045270476865308
103,Vadodara,III,0.16,0.23379850553064874,69833.56465201711,5.364315733440788,1.8147721302330269
104,Varanasi,II,0.1,0.2905471362793596,74516.94736983522,6.458950330591335,4.193808786832646
105,Vellore,IV,0.24,0.11218828587998951,35844.84921992369,8.88440939063035,3.4515267327436856
106,Vijaywada,III,0.16,0.19403933360445924,58153.91015500504,7.816354101690626,5.947048886422158
107,Vishakhapatnam,IV,0.24,0.19801048281795974,38166.11883685753,4.162623241909717,1.326521035758901
